tweet_id,retweet_count,favorite_count,user_count
892420643555336193,6969,33697,9359003
892177421306343426,5272,29222,9359003
891815181378084864,3464,21978,9359003
891689557279858688,7191,36791,9359003
891327558926688256,7717,35182,9359003
891087950875897856,2586,17749,9359003
890971913173991426,1647,10331,9359003
890729181411237888,15679,56666,9359003
890609185150312448,3604,24427,9359003
890240255349198849,6068,27848,9359003
890006608113172480,6111,26947,9359003
889880896479866881,4141,24487,9359003
889665388333682689,8302,41878,9359003
889638837579907072,3700,23580,9359003
889531135344209921,1874,13312,9359003
889278841981685760,4419,22026,9359003
888917238123831296,3742,25533,9359003
888804989199671297,3513,22391,9359003
888554962724278272,2863,17252,9359003
888078434458587136,2885,19101,9359003
887705289381826560,4516,26529,9359003
887517139158093824,9810,40587,9359003
887473957103951883,14952,59978,9359003
887343217045368832,8775,29489,9359003
887101392804085760,4969,26897,9359003
886983233522544640,6287,30241,9359003
886736880519319552,2616,10453,9359003
886680336477933568,3720,19655,9359003
886366144734445568,2613,18489,9359003
886267009285017600,4,105,9359003
886258384151887873,5253,24445,9359003
886054160059072513,93,0,9359003
885984800019947520,5589,28497,9359003
885528943205470208,5306,31483,9359003
885518971528720385,3097,17941,9359003
885311592912609280,15365,0,9359003
885167619883638784,3652,19180,9359471
884925521741709313,14943,67013,9359003
884876753390489601,4639,24300,9359003
884562892145688576,3896,21243,9359003
884441805382717440,4776,23779,9359003
884247878851493888,16823,63019,9359003
884162670584377345,2493,17888,9359003
883838122936631299,2850,19092,9359003
883482846933004288,8221,40046,9359003
883360690899218434,3061,19879,9359003
883117836046086144,5513,32387,9359003
882992080364220416,3229,20918,9359003
882762694511734784,4077,24695,9359003
882627270321602560,5042,24527,9359003
882268110199369728,9583,39043,9359003
882045870035918850,4066,25626,9359003
881906580714921986,2839,21374,9359003
881666595344535552,8912,44387,9359003
881633300179243008,8,113,9359003
881536004380872706,13351,43282,9359003
881268444196462592,4481,20428,9359003
880935762899988482,2325,14995,9359003
880872448815771648,3191,18655,9359003
880465832366813184,5192,24928,9359003
880221127280381952,3448,23578,9359003
880095782870896641,3634,24233,9359003
879862464715927552,2913,19638,9359003
879674319642796034,9,282,9359003
879492040517615616,2619,20649,9359003
879415818425184262,37264,92503,9359003
879376492567855104,2634,14809,9359003
879130579576475649,5711,0,9359003
879050749262655488,3935,19746,9359003
879008229531029506,2230,16724,9359003
878776093423087618,3419,17085,9359003
878604707211726852,5897,26356,9359003
878404777348136964,1070,0,9359003
878316110768087041,5501,0,9359003
878281511006478336,1070,6756,9359003
878057613040115712,5711,37018,9359003
877736472329191424,15734,69047,9359003
877611172832227328,70,0,9359003
877556246731214848,3152,19839,9359003
877316821321428993,4321,24069,9359003
877201837425926144,4602,23796,9359003
876838120628539392,2795,18165,9359003
876537666061221889,3962,20990,9359003
876484053909872640,1989,16510,9359003
876120275196170240,3890,24610,9359003
875747767867523072,3567,22034,9359003
875144289856114688,4132,19368,9359003
875097192612077568,5094,24168,9359003
875021211251597312,3954,22489,9359003
874680097055178752,3906,24521,9359003
874434818259525634,12159,0,9359003
874296783580663808,3471,22884,9359003
874057562936811520,3368,20056,9359003
874012996292530176,8551,30024,9359003
873580283840344065,3333,21311,9359003
873337748698140672,1327,0,9359003
873213775632977920,1327,6302,9359003
872967104147763200,4544,23980,9359003
872820683541237760,3157,13031,9359003
872620804844003328,3058,18273,9359003
872486979161796608,7683,35988,9359003
872122724285648897,6803,30102,9359003
871879754684805121,9210,32971,9359003
871762521631449091,2958,17818,9359003
871515927908634625,2924,17846,9359003
871166179821445120,4878,0,9359003
871102520638267392,4652,18489,9359003
871032628920680449,3213,20093,9359003
870804317367881728,5264,29703,9359003
870726314365509632,3,105,9359003
870656317836468226,2190,10857,9359003
870374049280663552,22657,73716,9359003
870308999962521604,3534,19420,9359003
870063196459192321,7050,32309,9359003
869772420881756160,8659,37894,9359003
869702957897576449,5363,24968,9359003
869596645499047938,2629,14149,9359003
869227993411051520,3188,18083,9359003
868880397819494401,12200,57751,9359003
868639477480148993,1742,0,9359003
868622495443632128,4444,23570,9359003
868552278524837888,1742,8936,9359003
867900495410671616,3554,21533,9359003
867774946302451713,6229,30166,9359003
867421006826221569,2109,14297,9359003
867072653475098625,100,0,9359003
867051520902168576,6755,28609,9359003
866720684873056260,4118,17804,9359003
866686824827068416,2953,17069,9359003
866450705531457537,30058,108495,9359003
866334964761202691,12159,46426,9359003
866094527597207552,7133,0,9359003
865718153858494464,4814,22858,9359003
865359393868664832,4271,23520,9359003
865006731092295680,6634,24959,9359003
864873206498414592,7475,28752,9359003
864279568663928832,2571,13032,9359003
864197398364647424,7555,26551,9359003
863907417377173506,3577,18381,9359003
863553081350529029,3612,13634,9359002
863471782782697472,2084,0,9359002
863432100342583297,4542,21225,9359002
863427515083354112,80,1956,9359002
863079547188785154,949,7877,9359002
863062471531167744,2084,7502,9359002
862831371563274240,4442,17178,9359002
862722525377298433,3075,15289,9359002
862457590147678208,4231,18216,9359002
862096992088072192,19904,66060,9359002
861383897657036800,9228,32188,9359002
861288531465048066,3574,15304,9359002
861005113778896900,3319,14940,9359002
860981674716409858,1850,0,9359002
860924035999428608,675,0,9359002
860563773140209665,1850,6701,9359002
860524505164394496,4582,21198,9359002
860276583193509888,3056,16528,9359002
860184849394610176,5104,14965,9359002
860177593139703809,26611,0,9359002
859924526012018688,3573,17574,9359002
859851578198683649,3057,13946,9359002
859607811541651456,1360,16791,9359002
859196978902773760,26174,80301,9359002
859074603037188101,11919,30334,9359002
858860390427611136,7050,0,9359002
858843525470990336,3018,14090,9359002
858471635011153920,4241,19421,9359002
858107933456039936,2532,14189,9359002
857989990357356544,2259,14452,9359002
857746408056729600,9312,30708,9359002
857393404942143489,1437,5291,9359002
857263160327368704,3959,18205,9359002
857214891891077121,16,203,9359002
857062103051644929,146,0,9359002
857029823797047296,3472,17002,9359002
856543823941562368,2534,14791,9359002
856526610513747968,1651,10792,9359002
856288084350160898,15,489,9359002
856282028240666624,5564,25166,9359002
855862651834028034,21,302,9359002
855860136149123072,849,4396,9359002
855857698524602368,1853,10835,9359002
855851453814013952,16076,41813,9359002
855818117272018944,4798,24219,9359002
855459453768019968,7281,27027,9359002
855245323840757760,5246,0,9359002
855138241867124737,36,0,9359002
854732716440526848,5326,20625,9359002
854482394044301312,6000,26494,9359002
